date,pv_output,direct_irradiance,diffuse_irradiance,reflected_irradiance,sun_height,temp,wind_speed
2005-01-01,5.3373800000000005,4.72553,1.2628300000000001,0.049589999999999995,9.244166666666667,-2.3870833333333334,3.2383333333333333
2005-01-02,5.18926,4.86031,1.19192,0.04999,9.27125,1.1066666666666667,2.58875
2005-01-03,4.2148900000000005,3.67557,1.36867,0.04379,9.301666666666668,5.40875,2.9945833333333334
2005-01-04,4.63244,4.10925,1.2521499999999999,0.04603,9.334166666666667,4.2595833333333335,3.6170833333333334
2005-01-05,1.8182099999999999,0.94782,1.2306000000000001,0.02306,9.370416666666666,5.2225,2.111666666666667
2005-01-06,3.28009,2.08102,1.7425199999999998,0.03685,9.177083333333334,2.7079166666666663,1.9954166666666666
2005-01-07,2.30757,1.18498,1.53051,0.028720000000000002,9.225,4.01625,3.6841666666666666
2005-01-08,4.54007,3.9514,1.32128,0.04553,9.274583333333334,2.1620833333333334,3.422083333333333
2005-01-09,4.36252,3.55103,1.47135,0.04428,9.327083333333333,1.0533333333333335,3.3054166666666664
2005-01-10,4.84689,4.57074,1.18915,0.04945,9.609583333333333,2.1308333333333334,1.7554166666666668
2005-01-11,1.35536,0.38176,1.28377,0.02011,9.440416666666666,2.0100000000000002,2.1233333333333335
2005-01-12,4.91908,4.45687,1.2298600000000002,0.04928,9.7275,2.080833333333333,3.0087499999999996
2005-01-13,1.66683,0.47184,1.52497,0.02471,9.790416666666667,3.1220833333333338,2.473333333333333
2005-01-14,3.02086,2.08772,1.43759,0.03454,9.629166666666666,1.4937500000000001,2.35125
2005-01-15,4.13156,3.20158,1.5755700000000001,0.04328,9.6975,1.4400000000000002,3.560416666666667
2005-01-16,5.51544,5.18147,1.16146,0.05398,9.768333333333333,0.5841666666666667,2.91375
2005-01-17,5.08371,4.99929,1.16635,0.05341,9.841666666666667,1.9604166666666665,1.5433333333333332
2005-01-18,3.89577,3.12023,1.61404,0.04434,9.917083333333332,4.647083333333334,2.0316666666666667
2005-01-19,4.24341,3.304,1.6364400000000001,0.04558,9.995416666666666,2.214166666666667,2.873333333333333
2005-01-20,5.25754,5.02619,1.16795,0.05377,10.075416666666667,2.92375,2.9570833333333333
2005-01-21,2.8579499999999998,1.92488,1.43023,0.03343,10.372916666666667,4.24125,2.875833333333333
2005-01-22,0.23859,0.009139999999999999,0.39189999999999997,0.00564,10.244166666666667,4.026666666666666,3.8683333333333336
2005-01-23,1.94766,0.65838,1.66914,0.02829,10.331666666666667,4.240833333333334,1.7125000000000001
2005-01-24,0.44894,0.11077,0.53315,0.008369999999999999,10.42125,5.360416666666667,1.6987499999999998
2005-01-25,0.64785,0.19363,0.69237,0.01059,10.512500000000001,3.890416666666667,3.6841666666666666
2005-01-26,3.0290600000000003,2.06463,1.47925,0.03543,10.606666666666667,4.139583333333333,2.75625
2005-01-27,0.41014,0.02158,0.58605,0.00849,10.70375,4.965,2.40375
2005-01-28,1.81568,0.88888,1.31715,0.02525,10.800416666666665,6.8879166666666665,1.865
2005-01-29,1.23285,0.42623,1.09714,0.0189,10.900833333333333,4.079166666666667,4.483333333333333
2005-01-30,2.41994,1.27074,1.54945,0.03079,11.004583333333334,1.4591666666666667,3.3204166666666666
2005-01-31,5.54537,5.0383700000000005,1.37477,0.05798,11.107916666666666,1.4458333333333335,3.780416666666667
2005-02-01,5.13521,4.070399999999999,1.72806,0.05469,11.213333333333333,-0.68,3.7383333333333333
2005-02-02,4.28806,2.82845,2.1242799999999997,0.04971,11.321666666666667,0.635,2.29875
2005-02-03,5.01413,4.52274,1.31354,0.05516,11.430416666666666,4.6120833333333335,3.0141666666666667
2005-02-04,2.06955,0.96059,1.54241,0.02914,11.542916666666665,7.320833333333333,2.8829166666666666
2005-02-05,0.37797,0.03245,0.5285,0.00782,11.655,5.929166666666667,4.270833333333333
2005-02-06,0.63208,0.06798,0.7805,0.01171,11.770416666666668,6.16875,3.862083333333333
2005-02-07,0.71779,0.12763,0.82358,0.01279,11.886249999999999,4.9624999999999995,3.8216666666666668
2005-02-08,1.0327,0.24688,1.05958,0.01709,12.004583333333334,4.622083333333333,3.016666666666667
2005-02-09,0.33433,0.022170000000000002,0.49672,0.00726,12.123750000000001,3.4141666666666666,4.255416666666666
2005-02-10,1.3935499999999998,0.38122,1.31273,0.02101,12.245,1.9312500000000001,4.052083333333333
2005-02-11,4.59092,3.52151,1.77861,0.05336,12.366666666666667,2.6454166666666667,3.0695833333333336
2005-02-12,1.2433100000000001,0.21308,1.32704,0.02051,12.490833333333335,3.62625,2.5654166666666667
2005-02-13,2.66859,0.96693,2.1703099999999997,0.0382,12.615416666666667,6.155833333333334,4.097916666666667
2005-02-14,0.64291,0.1063,0.7713800000000001,0.01193,12.74125,8.631666666666666,2.1558333333333333
2005-02-15,1.25019,0.28121,1.29734,0.02085,12.869583333333333,7.849166666666666,4.035833333333334
2005-02-16,0.21234,0.00013000000000000002,0.36916,0.00526,12.998333333333333,4.2508333333333335,3.4279166666666665
2005-02-17,0.60261,0.0654,0.76592,0.0115,13.126666666666667,5.105416666666667,4.185
2005-02-18,2.01604,0.71589,1.65091,0.02921,13.257916666666667,2.5316666666666667,6.422499999999999
2005-02-19,5.17169,3.98624,1.85854,0.06008,13.390416666666667,-0.375,5.45375
2005-02-20,6.12084,5.4500399999999996,1.54975,0.07008,13.522916666666667,-0.8866666666666667,2.8245833333333334
2005-02-21,5.89309,5.49832,1.50034,0.07024999999999999,13.657083333333333,2.285833333333333,3.0399999999999996
2005-02-22,5.76854,5.58003,1.34438,0.06979,13.79125,6.290833333333333,2.4829166666666667
2005-02-23,4.8612,4.06561,1.69303,0.060439999999999994,13.927083333333334,8.710833333333333,4.675416666666666
2005-02-24,0.78217,0.08252999999999999,0.9672,0.01449,14.0625,5.411666666666666,3.1925000000000003
2005-02-25,1.93435,0.70205,1.60731,0.02898,14.199583333333331,3.8108333333333335,4.164166666666667
2005-02-26,4.95898,3.69238,2.07034,0.06330000000000001,14.336666666666666,2.3583333333333334,3.1824999999999997
2005-02-27,1.52171,0.30843,1.5584900000000002,0.02493,14.474166666666667,3.2304166666666667,2.422083333333333
2005-02-28,3.9031000000000002,2.25092,2.35445,0.05326,14.613333333333332,3.3000000000000003,2.3108333333333335
2005-03-01,5.40943,4.89045,1.6092499999999998,0.06931,14.752916666666666,6.5925,2.888333333333333
2005-03-02,2.0778,0.5521199999999999,1.97916,0.03291,14.891666666666667,6.590833333333333,3.5341666666666662
2005-03-03,5.29988,3.94223,2.24521,0.06772,15.031666666666666,3.422916666666667,3.1916666666666664
2005-03-04,6.07338,5.47982,1.56374,0.07507,15.172916666666666,3.0858333333333334,5.08
2005-03-05,5.68901,4.52362,2.00321,0.07095,15.312916666666666,1.6979166666666667,3.432916666666667
2005-03-06,6.0182,6.05149,1.39149,0.07964,15.45375,5.84125,2.4433333333333334
2005-03-07,5.97677,5.93401,1.4099,0.07912,15.594583333333333,9.379583333333334,2.97125
2005-03-08,4.19735,2.62703,2.58338,0.06096,15.735416666666666,12.495833333333332,2.7254166666666664
2005-03-09,2.64486,1.5761,1.74567,0.04007,15.8775,12.258333333333333,2.6687499999999997
2005-03-10,4.31107,3.44876,2.04996,0.0628,16.017916666666668,14.205833333333333,3.2120833333333336
2005-03-11,2.41786,1.14626,1.69982,0.0359,16.159583333333334,2.9941666666666666,6.6191666666666675
2005-03-12,1.86238,0.35402,1.8966699999999999,0.02989,16.30125,1.1208333333333333,4.078333333333333
2005-03-13,6.60691,6.31312,1.4049,0.08523,16.442916666666665,2.4575,3.4158333333333335
2005-03-14,4.26802,2.69128,2.4176699999999998,0.06061,16.583333333333332,6.324583333333333,3.85875
2005-03-15,4.57109,3.54126,2.1315999999999997,0.06694,16.72375,10.27375,2.5925
2005-03-16,0.66152,0.07163,0.86025,0.01298,16.865,11.03125,3.1641666666666666
2005-03-17,4.54917,3.39609,2.13721,0.06475,17.005416666666665,10.45375,4.009166666666666
2005-03-18,6.19746,5.99339,1.44213,0.08441,17.145416666666666,5.760833333333333,2.8874999999999997
2005-03-19,6.051629999999999,5.83831,1.43333,0.08348,17.285,8.04625,3.2320833333333336
2005-03-20,4.58026,3.74294,1.79007,0.06556,17.424166666666668,9.3075,3.3425
2005-03-21,2.2112700000000003,0.8891100000000001,1.78766,0.035,17.56416666666667,11.217083333333333,5.0175
2005-03-22,2.16431,0.6801900000000001,1.96126,0.03471,17.701666666666664,7.859583333333333,4.004166666666666
2005-03-23,5.269769999999999,4.61925,1.7925499999999999,0.0756,17.607083333333332,10.616249999999999,3.7937499999999997
2005-03-24,6.16687,5.35786,1.85133,0.08477,17.504583333333333,4.6075,3.9204166666666667
2005-03-25,5.96702,5.82106,1.42656,0.08561,17.659166666666668,8.25625,3.6070833333333336
2005-03-26,1.6022,0.39901,1.60078,0.027100000000000003,17.811666666666667,10.294583333333334,1.9799999999999998
2005-03-27,0.92166,0.0844,1.17346,0.01776,17.964166666666667,11.568333333333333,0.7466666666666667
2005-03-28,2.81717,1.4822899999999999,1.9788000000000001,0.04435,18.114583333333332,10.795,3.2575000000000003
2005-03-29,4.72827,2.63529,2.99885,0.07086,18.26625,7.055,3.1041666666666665
2005-03-30,5.87615,5.3921,1.90925,0.0879,18.41541666666667,8.305833333333334,2.26625
2005-03-31,6.08038,5.91164,1.57062,0.09061,18.565833333333334,10.28875,3.3654166666666665
2005-04-01,4.20056,2.86753,2.22927,0.06372,18.71375,12.760416666666666,2.7425
2005-04-02,4.5974,3.86716,1.95789,0.07255,18.860416666666666,13.809583333333334,2.0741666666666667
2005-04-03,6.01898,5.60207,1.6923,0.08947,19.00625,9.774583333333334,3.296666666666667
2005-04-04,6.31133,6.33741,1.46199,0.096,19.151666666666667,11.946666666666665,4.077083333333333
2005-04-05,5.81065,5.75815,1.4548999999999999,0.08946,19.295416666666668,16.479166666666668,4.9174999999999995
2005-04-06,1.78054,0.46631,1.84019,0.03182,19.438333333333333,16.009583333333335,4.100833333333333
2005-04-07,5.444920000000001,5.53109,1.53443,0.08895,19.579583333333336,18.430416666666666,2.85
2005-04-08,5.10855,4.3811800000000005,2.08869,0.08272,19.71875,18.557916666666667,4.3187500000000005
2005-04-09,4.67978,3.64281,2.2315,0.07471,19.85833333333333,16.8825,4.66125
2005-04-10,4.76195,3.66351,2.13226,0.07467,19.996666666666666,12.042083333333332,2.8870833333333334
2005-04-11,1.61226,0.43908,1.60933,0.02812,20.1325,10.988750000000001,1.0895833333333333
2005-04-12,4.59107,3.1814400000000003,2.44631,0.07283,20.267916666666668,13.087083333333332,2.8708333333333336
2005-04-13,5.65782,5.32339,1.71036,0.09075,20.401666666666667,12.77375,2.9058333333333333
2005-04-14,5.76859,5.75175,1.59272,0.09518,20.5325,15.655833333333334,1.9574999999999998
2005-04-15,5.2296,4.49232,2.18423,0.08802,20.664583333333333,15.041666666666666,2.6441666666666666
2005-04-16,5.78467,5.12545,2.05239,0.09315,20.792916666666667,15.907083333333333,4.8758333333333335
2005-04-17,5.05535,4.35907,1.9562,0.08184,20.920833333333334,17.76125,4.359583333333333
2005-04-18,5.2589,5.23273,1.49784,0.08848,21.045833333333334,18.432916666666667,3.7825
