index,city,lat,lon
0,New York,40.7127281,-74.0060152
1,London,51.5073219,-0.1276474
2,Tokyo,35.6828387,139.7594549
3,Paris,48.8588897,2.3200410217200766
4,Beijing,39.906217,116.3912757
5,Shanghai,31.2322758,121.4692071
6,Los Angeles,34.0536909,-118.242766
7,Moscow,55.7504461,37.6174943
8,Dubai,25.2653471,55.2924914
9,Singapore,1.2899175,103.8519072
10,Hong Kong,22.2793278,114.1628131
11,Berlin,52.5170365,13.3888599
12,Madrid,40.4167047,-3.7035825
13,Rome,41.8933203,12.4829321
14,Sydney,-33.8698439,151.2082848
15,Toronto,43.6534817,-79.3839347
16,Bangkok,13.7524938,100.4935089
17,Seoul,37.5666791,126.9782914
18,Mumbai,19.0785451,72.878176
19,Istanbul,41.0091982,28.9662187
20,Mexico City,19.4326296,-99.1331785
21,São Paulo,-23.5506507,-46.6333824
22,Buenos Aires,-34.6075682,-58.4370894
23,Cairo,30.0443879,31.2357257
24,Jakarta,-6.175247,106.8270488
25,Lagos,6.4550575,3.3941795
26,Delhi,28.6517178,77.2219388
27,Kuala Lumpur,3.1516964,101.6942371
28,Melbourne,-37.8142454,144.9631732
29,Rio de Janeiro,-22.9110137,-43.2093727
30,Chicago,41.8755616,-87.6244212
31,San Francisco,37.7790262,-122.419906
32,Houston,29.7589382,-95.3676974
33,Miami,25.7741728,-80.19362
34,Boston,42.3554334,-71.060511
35,"Washington, D.C.",38.8950368,-77.0365427
36,Amsterdam,52.3727598,4.8936041
37,Zurich,47.3744489,8.5410422
38,Geneva,46.2017559,6.1466014
39,Frankfurt,50.1106444,8.6820917
40,Barcelona,41.3828939,2.1774322
41,Munich,48.1371079,11.5753822
42,Dubai,25.2653471,55.2924914
43,Cape Town,-33.9288301,18.4172197
44,Johannesburg,-26.205,28.049722
45,Abu Dhabi,24.4538352,54.3774014
46,Doha,25.2856329,51.5264162
47,Osaka,34.6937569,135.5014539
48,Nagoya,35.1851045,136.8998438
49,Brussels,50.8465573,4.351697
50,Lisbon,38.7077507,-9.1365919
51,Stockholm,59.3251172,18.0710935
52,Vienna,48.2083537,16.3725042
53,Helsinki,60.1674881,24.9427473
54,Warsaw,52.2319581,21.0067249
55,Dublin,53.3498006,-6.2602964
56,Copenhagen,55.6867243,12.5700724
57,Oslo,59.9133301,10.7389701
58,Athens,37.9839412,23.7283052
59,Budapest,47.4979937,19.0403594
60,Prague,50.0874654,14.4212535
61,Edinburgh,55.9533456,-3.1883749
62,Manchester,53.4794892,-2.2451148
63,Glasgow,55.8609825,-4.2488787
64,Birmingham,52.4796992,-1.9026911
65,Cardiff,51.4816546,-3.1791934
66,Mumbai,19.0785451,72.878176
67,Chennai,13.0836939,80.270186
68,Bangalore,12.9767936,77.590082
69,Hyderabad,17.360589,78.4740613
70,Ahmedabad,23.0216238,72.5797068
71,Pune,18.521428,73.8544541
72,Kolkata,22.5414185,88.35769124388872
73,Karachi,24.8546842,67.0207055
74,Lahore,31.5656822,74.3141829
75,Islamabad,33.6938118,73.0651511
76,Manila,14.5948914,120.9782618
77,Hanoi,21.0294498,105.8544441
78,Ho Chi Minh City,10.7758439,106.7017555
79,Riyadh,24.638916,46.7160104
80,Jeddah,21.5810088,39.1653612
81,Tel Aviv,32.0852997,34.7818064
82,Jerusalem,31.79592425,35.21198075969497
83,Beirut,33.8959203,35.47843
84,Tehran,35.6892523,51.3896004
85,Baghdad,33.3061701,44.3872213
86,Kuwait City,29.3796532,47.9734174
87,Casablanca,33.5945144,-7.6200284
88,Rabat,34.022405,-6.834543
89,Nairobi,-1.30326415,36.826384099341595
90,Accra,5.5571096,-0.2012376
91,Addis Ababa,9.0358287,38.7524127
92,Kinshasa,-4.3217055,15.3125974
93,Algiers,36.7753606,3.0601882
94,Tunis,36.8002068,10.1857757
95,Santiago,9.8694792,-83.7980749
96,Bogotá,4.6534649,-74.0836453
97,Lima,-12.0621065,-77.0365256
98,Caracas,10.5060934,-66.9146008
99,Tunis,36.8002068,10.1857757
