pv_output,direct_irradiance,diffuse_irradiance,reflected_irradiance,sun_height,temp,wind_speed,year_sin,year_cos
3.11135,2.29901,1.45377,0.03823,7.6225,9.983333333333333,2.3108333333333335,0.017213356155834685,0.9998518392091162
3.65403,3.0695900000000003,1.39157,0.04232,7.6525,8.755833333333333,1.7533333333333332,0.03442161162274574,0.9994074007397048
2.23091,1.46498,1.27946,0.03098,7.684166666666666,9.330833333333333,2.4766666666666666,0.051619667223253764,0.998666816288476
3.52703,2.77866,1.49517,0.0417,7.718333333333334,9.705416666666666,1.9683333333333335,0.06880242680231986,0.9976303053065857
3.61023,2.9333099999999996,1.50198,0.04291,7.755416666666666,8.190416666666666,1.8975,0.08596479873744647,0.9962981749346078
3.64619,2.93658,1.51207,0.04315,7.794583333333333,7.695833333333333,1.9854166666666666,0.10310169744743485,0.9946708199115211
3.64308,2.93524,1.50557,0.043109999999999996,7.83625,7.414166666666667,1.865,0.1202080448993527,0.9927487224577402
3.6524199999999998,2.99445,1.4892,0.04353,7.880416666666666,8.349583333333333,1.9316666666666666,0.13727877211326478,0.9905324521322229
3.6837500000000003,3.03267,1.49326,0.04389,7.926666666666666,7.9975,1.89625,0.15430882066428117,0.9880226656636976
3.7111099999999997,3.02762,1.50551,0.04423,7.974166666666666,8.557083333333333,1.9116666666666668,0.1712931441814776,0.9852201067560606
3.6320799999999998,2.9795599999999998,1.46452,0.04363,8.025416666666667,8.311666666666666,1.5358333333333334,0.1882267098432442,0.9821256058680006
0.84661,0.11822000000000002,1.00135,0.018000000000000002,8.07875,7.389583333333333,1.5229166666666665,0.2051044998686192,0.9787400799669153
2.19345,1.1252499999999999,1.54012,0.0328,8.133750000000001,8.481666666666667,1.9400000000000002,0.22192151300416552,0.9750645322571948
3.41457,2.60677,1.57095,0.04278,8.190416666666666,9.8225,1.5833333333333333,0.2386727660059501,0.9711000518829505
4.01211,3.3042,1.60928,0.04691,8.250416666666666,8.235416666666667,2.0691666666666664,0.255353295116187,0.9668478136052775
3.77575,2.91586,1.6781,0.0456,8.311666666666666,8.842916666666666,2.35,0.2719581575341055,0.9623090774541486
4.1864099999999995,3.52584,1.52158,0.0479,8.375416666666666,7.97125,1.9891666666666667,0.288482432880609,0.9574851883550393
2.99322,2.1648899999999998,1.44915,0.03689,8.44125,9.36375,3.3825000000000003,0.30492122465628907,0.9523775757303974
4.96621,4.79531,1.05227,0.05293,8.508750000000001,12.156666666666666,6.197500000000001,0.3212696616923644,0.9469877530760753
4.67276,4.62659,1.0487,0.05202,8.578750000000001,11.721666666666666,2.415,0.3375228995941133,0.9413173175128471
4.92595,5.12514,0.9388799999999999,0.054830000000000004,8.650833333333333,12.271666666666667,2.672916666666667,0.3536761221763716,0.9353679493131483
4.84769,4.97812,1.0501,0.05493,8.72375,10.790833333333333,1.8041666666666665,0.3697245428906731,0.9291414114031743
4.70599,4.6541500000000005,1.15978,0.05404,8.799166666666666,9.749166666666666,1.6629166666666666,0.38566340624360707,0.9226395488404876
