pv_output,direct_irradiance,diffuse_irradiance,reflected_irradiance,sun_height,temp,wind_speed,year_sin,year_cos
3.49531,2.92096,1.52769,0.03712,9.00625,16.3025,1.3904166666666666,0.017213356155834685,0.9998518392091162
0.6657,0.07157,0.8472999999999999,0.01184,9.035833333333334,14.365416666666667,4.0945833333333335,0.03442161162274574,0.9994074007397048
1.17225,0.55556,0.94512,0.01642,9.067916666666667,13.130833333333333,3.4075,0.051619667223253764,0.998666816288476
0.69206,0.02999,0.92022,0.01262,9.102083333333333,12.823749999999999,3.345416666666667,0.06880242680231986,0.9976303053065857
0.99948,0.49808,0.78198,0.01358,9.139583333333333,11.687916666666666,4.757916666666667,0.08596479873744647,0.9962981749346078
4.31816,3.74996,1.49003,0.04324,9.177916666666667,12.330833333333333,2.4908333333333332,0.10310169744743485,0.9946708199115211
1.05962,0.11264,1.26252,0.01771,9.219166666666666,11.9625,2.06375,0.1202080448993527,0.9927487224577402
4.68356,4.36705,1.37135,0.04564,9.261666666666667,12.089999999999998,3.0083333333333333,0.13727877211326478,0.9905324521322229
3.72599,2.93629,1.6961,0.03952,9.3075,11.228333333333333,2.4375,0.15430882066428117,0.9880226656636976
3.15627,2.45432,1.43987,0.03426,9.355,12.047083333333333,2.255,0.1712931441814776,0.9852201067560606
4.4067,3.9579299999999997,1.49271,0.0446,9.405416666666666,13.246250000000002,1.8908333333333331,0.1882267098432442,0.9821256058680006
4.68425,4.62158,1.30547,0.046990000000000004,9.4575,12.665,1.7095833333333335,0.2051044998686192,0.9787400799669153
4.59312,4.47912,1.38104,0.04719,9.512083333333335,13.271666666666667,1.80375,0.22192151300416552,0.9750645322571948
2.65185,1.65613,1.67909,0.0322,9.568333333333333,13.68125,2.2416666666666667,0.2386727660059501,0.9711000518829505
1.3996300000000002,0.48403000000000007,1.28363,0.01925,9.626666666666667,12.737083333333333,3.5525,0.255353295116187,0.9668478136052775
4.3045100000000005,3.76284,1.53035,0.04472,9.68625,13.57875,2.316666666666667,0.2719581575341055,0.9623090774541486
4.59826,4.23771,1.37486,0.04642,9.748333333333333,11.979166666666666,2.6325,0.288482432880609,0.9574851883550393
1.3218699999999999,0.56733,1.08851,0.01796,9.812916666666666,10.775416666666667,4.52625,0.30492122465628907,0.9523775757303974
0.60472,0.14063,0.68337,0.0101,9.879166666666666,11.060416666666667,4.8425,0.3212696616923644,0.9469877530760753
4.4750000000000005,4.22578,1.3416000000000001,0.04638,9.859166666666667,12.42875,2.815,0.3375228995941133,0.9413173175128471
4.10407,3.6635999999999997,1.5157,0.04449,9.935833333333333,14.087083333333332,2.60875,0.3536761221763716,0.9353679493131483
0.24056,0.010029999999999999,0.39524,0.0054,10.015416666666667,11.793333333333335,3.8808333333333334,0.3697245428906731,0.9291414114031743
2.51812,1.1817499999999999,1.86375,0.03119,10.09625,13.231250000000001,6.660833333333334,0.38566340624360707,0.9226395488404876
3.58392,2.78124,1.5655700000000001,0.04034,10.18,12.344166666666666,3.7420833333333334,0.401487989205973,0.9158642882672872
4.59263,4.24173,1.53459,0.04929,10.264583333333333,12.239583333333334,2.1054166666666667,0.4171936026123168,0.9088176373395029
4.91132,4.94248,1.29819,0.05245,10.350833333333332,13.191249999999998,1.8841666666666665,0.4327755925504312,0.901501684131884
4.91328,4.92725,1.30294,0.0528,10.6625,13.367083333333333,1.9141666666666666,0.4482293417404106,0.893918596519257
4.88744,4.998740000000001,1.32179,0.0534,10.75625,16.18583333333333,2.5429166666666667,0.4635502709028509,0.886070621534138
4.84185,4.87937,1.38114,0.05298,10.853333333333333,19.593333333333334,3.299583333333333,0.47873384011578846,0.8779600847008882
2.32456,1.46064,1.52118,0.03057,10.952083333333334,19.4775,3.3816666666666664,0.4937755501599772,0.869589389346611
1.0625,0.39137,0.99465,0.01619,11.052083333333334,13.907083333333333,2.9270833333333335,0.5086709438521044,0.8609610158889943
0.79108,0.07567,0.9933799999999999,0.01395,11.15375,12.52375,4.73375,0.5234156073655503,0.8520775211013093
0.93596,0.18696000000000002,1.03701,0.01518,11.2575,11.612916666666665,3.264583333333333,0.5380051715382996,0.8429415373547828
5.05509,4.51758,1.58127,0.05392,11.362916666666665,12.574166666666665,3.7675,0.5524353131676196,0.8335557718385699
1.23869,0.40153,1.15595,0.018529999999999998,11.469166666666666,11.35,6.500416666666666,0.5667017562911176,0.8239230057575542
0.38522,0.0,0.57939,0.00784,11.5775,10.50625,5.33125,0.5808002734538009,0.8140460935082178
0.69883,0.04841,0.89767,0.012450000000000001,11.687083333333334,11.032499999999999,4.614583333333333,0.5947266869607634,0.8039279618328213
1.16489,0.06065,1.4171,0.01961,11.798333333333332,10.552916666666667,4.602916666666666,0.6084768701151261,0.7935716089521474
1.77081,0.6641999999999999,1.4983499999999998,0.024390000000000002,11.911666666666667,9.335833333333333,4.863333333333333,0.6220467484408675,0.7829801036770629
3.8977500000000003,2.79132,1.93023,0.04702,12.024583333333332,9.550833333333333,2.655416666666667,0.6354323008901774,0.7721565844991642
2.29496,1.4346999999999999,1.42013,0.03079,12.140416666666667,9.258750000000001,1.4141666666666666,0.6486295610349814,0.7611042586607747
1.29501,0.50432,1.14425,0.01811,12.256666666666668,8.512083333333333,1.7870833333333334,0.6616346182422783,0.7498264012045686
4.44355,3.3312500000000003,1.9579,0.052180000000000004,12.374166666666667,8.600833333333334,3.2191666666666667,0.6744436188329455,0.7383263540031065
2.5800099999999997,1.38779,1.7521499999999999,0.0349,12.492916666666666,9.512916666666667,2.6350000000000002,0.6870527672236669,0.7266075247685656
5.46037,5.25011,1.52944,0.0618,12.613333333333332,12.065,3.2825,0.6994583270516471,0.7146733860429609
5.54798,5.4099,1.43567,0.06263,12.73375,13.477083333333333,4.417083333333333,0.7116566222817746,0.702527474169157
